cod_prod,nom_prod,concent,nom_form_farm,presentac,fraccion,num_reg_san,nom_titular,nom_fabricante,nom_ifa,nom_rubro,situacion
58196.0,ABEVMY®400,400 mg/ 16 mL,Concentrado para Solución para Perfusión,Caja Vial x 16 mL,1.0,BE01261,PHARMARIS PERU S.A.C.,BIOCON BIOLOGICS INDIA LIMITED,BEVACIZUMAB,PRODUCTO DE ORIGEN BIOLOGICO,ACT
48642.0,ABFLEXIL,7.5 mg + 0.005 mg/ 5 mL,Jarabe,Caja Frasco x 120 mL + accesorio,1.0,EN06886,DROGUERIA TOBAL S.A.C.,CIFARMA S.A.C. - LIMA - PERÚ,AMBROXOL CLORHIDRATO + CLENBUTEROL CLORHIDRATO,ESPECIALIDAD FARMACEUTICA,ACT
58285.0,ABFLEXIL COMPOSITUM,7.5 mg + 0.005 mg,Jarabe,Caja Frasco x 120 mL + Accesorio,1.0,EN06886,DROGUERIA TOBAL S.A.C.,CIFARMA S.A.C. - LIMA - PERÚ,AMBROXOL CLORHIDRATO + CLENBUTEROL CLORHIDRATO,ESPECIALIDAD FARMACEUTICA,ACT
50445.0,ABIPRO,250 mg,Tableta,Caja Frasco Tableta,120.0,EE07755,SUN PHARMACEUTICAL INDUSTRIES S.A.C.,SUN PHARMACEUTICAL INDUSTRIES LIMITED,ACETATO DE ABIRATERONA,ESPECIALIDAD FARMACEUTICA,ACT
54286.0,ABIRAGLOB 250,250 mg,Tableta,Caja Frasco x 120 Tabletas,1.0,EE10395,WORLD DRUG PHARMACEUTICAL S.A.C.,GLOBELA PHARMA PVT. LTD.,ACETATO DE ABIRATERONA,ESPECIALIDAD FARMACEUTICA,ACT
57387.0,ABIRAPROST,250 mg,Tableta,Caja Frasco x 30 Tabletas,1.0,EE12010,DS PHARMA PERU S.A.C.,KWALITY PHARMACEUTICALS PVT. LTD,ACETATO DE ABIRATERONA,ESPECIALIDAD FARMACEUTICA,ACT
56363.0,ABIRATRAL,250 mg,Comprimido,Caja Envase Blíster Comprimidos,120.0,EE09552,MEGA LABS LATAM S.A.,BRIA PHARMA S.A.,ACETATO DE ABIRATERONA,ESPECIALIDAD FARMACEUTICA,ACT
46742.0,ABIRAVITAE,250 mg,Comprimido,Caja Frasco x 120 Comprimidos,1.0,EE05688,GALENICUM VITAE PERU S.A.C.,"ATLAS PHARM, S.A. - MARRUECOS",ACETATO DE ABIRATERONA,ESPECIALIDAD FARMACEUTICA,ACT
48597.0,ABLNIVELAN,2 mg,Comprimido Recubierto,Caja Envase Blíster Comprimido Recubierto,20.0,EE02527,GRUNENTHAL PERUANA S.A.,LABORATORIOS ANDROMACO S.A.,RISPERIDONA,ESPECIALIDAD FARMACEUTICA,ACT
48598.0,ABLNIVELAN,1 mg,Comprimido Recubierto,Caja Envase Blister Comprimidos Recubiertos,20.0,EE02590,GRUNENTHAL PERUANA S.A.,LABORATORIOS ANDROMACO S.A.,RISPERIDONA,ESPECIALIDAD FARMACEUTICA,ACT
51392.0,ABLNIVELAN,1 mg/ mL,Solución Oral,Caja Frasco Gotero x 30 mL,1.0,EE08057,GRUNENTHAL PERUANA S.A.,TECNANDINA S.A.,RISPERIDONA,ESPECIALIDAD FARMACEUTICA,ACT
